dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,75.97,,70.43,77.18,75.97,76.98,1007,,,83,1.99,155,5.01,,,,,29,802,Clouds,scattered clouds,03n
1640998800,2022-01-01 01:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,74.98,,70.84,76.28,74.98,75.97,1007,,,87,3,276,7,,,,,31,802,Clouds,scattered clouds,03n
1641002400,2022-01-01 02:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,73.98,,70.86,75.31,73.98,75.97,1007,,,90,1.99,313,10,,,,,63,803,Clouds,broken clouds,04n
1641006000,2022-01-01 03:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,73.98,,71.19,75.34,73.98,75.97,1007,,,91,3,314,10,,,,,100,804,Clouds,overcast clouds,04n
1641009600,2022-01-01 04:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,73.98,,71.19,75.34,73.98,75.97,1007,,,91,8.01,322,8.99,,,,,100,804,Clouds,overcast clouds,04n
1641013200,2022-01-01 05:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,74.98,,71.85,76.41,74.98,74.98,1007,,,90,4,313,8.99,,,,,95,804,Clouds,overcast clouds,04n
1641016800,2022-01-01 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,74.98,,71.85,76.41,74.98,74.98,1007,,,90,1.99,155,11.01,,,,,45,802,Clouds,scattered clouds,03n
1641020400,2022-01-01 07:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,73.98,,70.86,75.31,73.98,74.98,1006,,,90,3,96,8.99,32.77,,,,26,503,Rain,very heavy rain,10n
1641024000,2022-01-01 08:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,72.99,,70.52,74.3,72.99,73.98,1005,,,92,4,303,8.01,,,,,20,801,Clouds,few clouds,02n
1641027600,2022-01-01 09:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,72.99,,70.2,74.26,72.99,73.98,1005,,,91,5.01,276,13,,,,,22,801,Clouds,few clouds,02n
