Date,Day,Rounds Played
2022-01-01,Saturday,61
2022-01-02,Sunday,6
2022-01-03,Monday,9
2022-01-04,Tuesday,18
2022-01-05,Wednesday,39
2022-01-06,Thursday,56
2022-01-07,Friday,49
2022-01-08,Saturday,113
2022-01-09,Sunday,98
2022-01-10,Monday,18
2022-01-11,Tuesday,34
2022-01-12,Wednesday,42
2022-01-13,Thursday,84
2022-01-14,Friday,112
2022-01-15,Saturday,84
2022-01-16,Sunday,28
2022-01-17,Monday,102
2022-01-18,Tuesday,61
2022-01-19,Wednesday,115
2022-01-20,Thursday,2
2022-01-21,Friday,0
2022-01-22,Saturday,66
2022-01-23,Sunday,62
2022-01-24,Monday,32
2022-01-25,Tuesday,0
2022-01-26,Wednesday,61
2022-01-27,Thursday,80
2022-01-28,Friday,63
2022-01-29,Saturday,69
2022-01-30,Sunday,125
2022-01-31,Monday,78
2022-02-01,Tuesday,66
2022-02-02,Wednesday,0
2022-02-03,Thursday,2
2022-02-04,Friday,19
2022-02-05,Saturday,49
2022-02-06,Sunday,122
2022-02-07,Monday,29
2022-02-08,Tuesday,55
2022-02-09,Wednesday,82
2022-02-10,Thursday,78
2022-02-11,Friday,136
2022-02-12,Saturday,187
2022-02-13,Sunday,69
2022-02-14,Monday,47
2022-02-15,Tuesday,101
2022-02-16,Wednesday,70
2022-02-17,Thursday,27
2022-02-18,Friday,61
2022-02-19,Saturday,97
2022-02-20,Sunday,115
2022-02-21,Monday,104
2022-02-22,Tuesday,92
2022-02-23,Wednesday,76
2022-02-24,Thursday,73
2022-02-25,Friday,66
2022-02-26,Saturday,65
2022-02-27,Sunday,18
2022-02-28,Monday,52
2022-03-01,Tuesday,0
2022-03-02,Wednesday,77
2022-03-03,Thursday,96
2022-03-04,Friday,145
2022-03-05,Saturday,161
2022-03-06,Sunday,159
2022-03-07,Monday,57
2022-03-08,Tuesday,51
2022-03-09,Wednesday,1
2022-03-10,Thursday,112
2022-03-11,Friday,60
2022-03-12,Saturday,68
2022-03-13,Sunday,175
2022-03-14,Monday,81
2022-03-15,Tuesday,59
2022-03-16,Wednesday,106
2022-03-17,Thursday,130
2022-03-18,Friday,96
2022-03-19,Saturday,154
2022-03-20,Sunday,184
2022-03-21,Monday,103
2022-03-22,Tuesday,16
2022-03-23,Wednesday,58
2022-03-24,Thursday,133
2022-03-25,Friday,209
2022-03-26,Saturday,137
2022-03-27,Sunday,158
2022-03-28,Monday,68
2022-03-29,Tuesday,98
2022-03-30,Wednesday,18
2022-03-31,Thursday,110
2022-04-01,Friday,195
2022-04-02,Saturday,83
2022-04-03,Sunday,200
2022-04-04,Monday,93
2022-04-05,Tuesday,54
2022-04-06,Wednesday,113
2022-04-07,Thursday,115
2022-04-08,Friday,176
2022-04-09,Saturday,197
2022-04-10,Sunday,153
2022-04-11,Monday,51
2022-04-12,Tuesday,92
2022-04-13,Wednesday,65
2022-04-14,Thursday,96
2022-04-15,Friday,208
2022-04-16,Saturday,204
2022-04-17,Sunday,80
2022-04-18,Monday,109
2022-04-19,Tuesday,122
2022-04-20,Wednesday,112
2022-04-21,Thursday,146
2022-04-22,Friday,50
2022-04-23,Saturday,149
2022-04-24,Sunday,157
2022-04-25,Monday,98
