Date,Day,Rounds Played,dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2022-01-01,Saturday,61,1641081600,2022-01-01 00:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,74.98,,67.66,75.85,74.98,76.98,1005,,,78,3,256,5.99,,,,,29,802,Clouds,scattered clouds,03n
2022-01-02,Sunday,6,1641103200,2022-01-02 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,55.98,,50.23,55.08,55.98,74.98,1010,,,81,5.99,277,14,0.33,,,,30,500,Rain,light rain,10n
2022-01-03,Monday,9,1641189600,2022-01-03 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,32.99,,26.06,23.61,32.99,34.99,1033,,,73,13,67,21,,,,,51,803,Clouds,broken clouds,04n
2022-01-04,Tuesday,18,1641276000,2022-01-04 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,35.98,,33.06,35.98,35.98,41.99,1028,,,89,1.99,144,15.01,,,,,0,800,Clear,sky is clear,01n
2022-01-05,Wednesday,39,1641362400,2022-01-05 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,51.98,,50.02,51.24,48.97,51.98,1016,,,93,1.01,162,1.99,,,,,99,804,Clouds,overcast clouds,04n
2022-01-06,Thursday,56,1641448800,2022-01-06 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,63.99,,62.22,64.51,59.99,63.99,1011,,,94,1.01,176,1.99,,,,,35,802,Clouds,scattered clouds,03n
2022-01-07,Friday,49,1641535200,2022-01-07 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,46.53,,41.65,43,44.98,47.61,1020,,,83,7,99,15.01,,,,,0,800,Clear,sky is clear,01n
2022-01-08,Saturday,113,1641621600,2022-01-08 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,51.98,,48.24,50.97,51.98,53.98,1019,,,87,1.99,196,5.99,,,,,94,804,Clouds,overcast clouds,04n
2022-01-09,Sunday,98,1641708000,2022-01-09 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,69.98,,68.18,71.1,62.98,69.98,1017,,,94,1.99,156,8.99,3.56,,,,48,501,Rain,moderate rain,10n
2022-01-10,Monday,18,1641794400,2022-01-10 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,52.99,,47.97,51.89,52.99,63.99,1029,,,83,10,119,15.01,32.77,,,,100,503,Rain,very heavy rain,10n
2022-01-11,Tuesday,34,1641880800,2022-01-11 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,45.99,,30.09,41.45,45.99,46.98,1035,,,53,8.99,83,17,,,,,0,800,Clear,sky is clear,01n
2022-01-12,Wednesday,42,1641967200,2022-01-12 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,48.97,,39.27,46.45,48.97,48.97,1030,,,69,5.99,115,8.99,32.77,,,,95,503,Rain,very heavy rain,10n
2022-01-13,Thursday,84,1642053600,2022-01-13 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,45.64,,32.99,42.84,44.35,48.97,1022,,,61,5.41,237,,,,,,95,804,Clouds,overcast clouds,04n
2022-01-14,Friday,112,1642140000,2022-01-14 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,53.28,,47.28,52.07,51.98,54.28,1017,,,80,8.19,271,,32.77,,,,0,503,Rain,very heavy rain,10n
2022-01-15,Saturday,84,1642226400,2022-01-15 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,56.98,,55.56,56.84,53.98,56.98,1010,,,95,6.69,142,,32.77,,,,99,503,Rain,very heavy rain,10n
2022-01-16,Sunday,28,1642312800,2022-01-16 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,35.98,,24.78,33.82,35.98,39.97,1022,,,61,3,209,15.01,,,,,28,802,Clouds,scattered clouds,03n
2022-01-17,Monday,102,1642399200,2022-01-17 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,41.5,,36.12,36.37,39.63,42.91,1018,,,81,8.1,262,,,,,,0,800,Clear,sky is clear,01n
2022-01-18,Tuesday,61,1642485600,2022-01-18 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,45.79,,39.33,45.79,45.14,46.13,1021,,,78,2.01,28,,32.77,,,,0,503,Rain,very heavy rain,10n
2022-01-19,Wednesday,115,1642572000,2022-01-19 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,59.99,,57.06,59.92,52.99,59.99,1015,,,90,1.01,214,1.01,,,,,13,801,Clouds,few clouds,02n
2022-01-20,Thursday,2,1642658400,2022-01-20 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,49.98,,46.27,47.64,49.98,62.98,1019,,,87,5.99,283,15.99,,,,,95,804,Clouds,overcast clouds,04n
2022-01-21,Friday,0,1642744800,2022-01-21 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,39.49,,34.77,36.72,37.98,40.3,1024,,,83,4,119,4,0.51,,,,100,500,Rain,light rain,10n
2022-01-22,Saturday,66,1642831200,2022-01-22 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,36.99,,25.63,30.92,36.99,36.99,1029,,,61,8.01,69,15.01,32.77,,,,72,503,Rain,very heavy rain,10n
2022-01-23,Sunday,62,1642917600,2022-01-23 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,38.17,,25.92,35.2,36.72,39.4,1026,,,59,4,98,8.01,32.77,,,,0,503,Rain,very heavy rain,10n
2022-01-24,Monday,32,1643004000,2022-01-24 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,51.98,,37.24,49.55,42.98,51.98,1019,,,57,5.57,257,,32.77,,,,1,503,Rain,very heavy rain,10n
2022-01-25,Tuesday,0,1643090400,2022-01-25 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,46.98,,45.63,46.98,45.99,46.98,1012,,,95,1.99,198,5.99,1.27,,,,100,501,Rain,moderate rain,10n
2022-01-26,Wednesday,61,1643176800,2022-01-26 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,49.37,,46.27,44.73,48.79,50.07,1023,,,89,11.65,18,,,,,,9,800,Clear,sky is clear,01n
2022-01-27,Thursday,80,1643263200,2022-01-27 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,45.99,,41.43,45.99,44.98,45.99,1026,,,84,1.99,217,8.01,,,,,0,800,Clear,sky is clear,01n
2022-01-28,Friday,63,1643349600,2022-01-28 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,52.99,,39.92,50.85,48.97,52.99,1025,,,61,5.01,147,8.99,32.77,,,,70,503,Rain,very heavy rain,10n
2022-01-29,Saturday,69,1643436000,2022-01-29 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,42.4,,27.14,42.4,40.26,44.98,1027,,,53,1.01,197,5.99,32.77,,,,0,503,Rain,very heavy rain,10n
2022-01-30,Sunday,125,1643522400,2022-01-30 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,43.99,,37.26,39.42,39.97,43.99,1025,,,77,8.08,232,,,,,,0,800,Clear,sky is clear,01n
2022-01-31,Monday,78,1643608800,2022-01-31 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,49.98,,46.87,47.89,48.97,49.98,1019,,,89,5.53,222,,,,,,0,800,Clear,sky is clear,01n
2022-02-01,Tuesday,66,1643695200,2022-02-01 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,57.97,,55.96,57.85,56.98,57.97,1012,,,93,1.99,278,4,32.77,,,,100,503,Rain,very heavy rain,10n
2022-02-02,Wednesday,0,1643781600,2022-02-02 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,52.99,,51.6,52.45,52.99,62.98,1010,,,95,4,275,11.01,32.77,,,,100,503,Rain,very heavy rain,10n
2022-02-03,Thursday,2,1643868000,2022-02-03 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,60.69,,59.25,60.93,41.99,64.47,1011,,,95,4,266,11.01,0.25,,,,100,500,Rain,light rain,10n
2022-02-04,Friday,19,1643954400,2022-02-04 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,44.01,,40.98,41.94,26.98,47.73,1028,,,89,4,305,15.99,2.25,,,,100,501,Rain,moderate rain,10n
2022-02-05,Saturday,49,1644040800,2022-02-05 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,35.96,,31.91,26.44,29.98,37,1038,,,85,15.7,355,,,,,,0,800,Clear,sky is clear,01n
2022-02-06,Sunday,122,1644127200,2022-02-06 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,29.98,,26.98,29.98,29.98,42.98,1028,,,87,1.99,178,4,,,,,0,800,Clear,sky is clear,01n
2022-02-07,Monday,29,1644213600,2022-02-07 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,45.59,,33.75,45.59,45,46.02,1023,,,63,1.77,287,,,,,,97,804,Clouds,overcast clouds,04n
2022-02-08,Tuesday,55,1644300000,2022-02-08 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,43.99,,30.78,43.99,43.99,47.98,1028,,,59,1.99,211,4,,,,,96,804,Clouds,overcast clouds,04n
2022-02-09,Wednesday,82,1644386400,2022-02-09 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,43.21,,35.17,43.21,40.73,46.98,1022,,,73,1.01,110,3,,,,,0,800,Clear,sky is clear,01n
2022-02-10,Thursday,78,1644472800,2022-02-10 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,44.98,,40.44,44.98,44.98,47.98,1019,,,84,1.99,280,3,,,,,0,800,Clear,sky is clear,01n
2022-02-11,Friday,136,1644559200,2022-02-11 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,48.97,,40.71,46.85,48.97,51.98,1018,,,73,5.26,212,,,,,,84,803,Clouds,broken clouds,04n
2022-02-12,Saturday,187,1644645600,2022-02-12 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,52.99,,51.6,52.45,52.99,53.98,1016,,,95,5.01,178,,32.77,,,,74,503,Rain,very heavy rain,10n
2022-02-13,Sunday,69,1644732000,2022-02-13 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,34.99,,27.48,29.1,34.99,49.98,1032,,,72,7,311,10,,,,,23,801,Clouds,few clouds,02n
2022-02-14,Monday,47,1644818400,2022-02-14 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,42.04,,29.16,38.55,38.03,46.98,1028,,,59,5.46,308,,,,,,0,800,Clear,sky is clear,01n
2022-02-15,Tuesday,101,1644904800,2022-02-15 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,43.99,,39.78,40.96,43.99,48.97,1026,,,85,5.28,215,,32.77,,,,0,503,Rain,very heavy rain,10n
2022-02-16,Wednesday,70,1644991200,2022-02-16 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,61.99,,60.24,62.31,54.99,61.99,1020,,,94,1.01,129,5.01,32.77,,,,9,503,Rain,very heavy rain,10n
2022-02-17,Thursday,27,1645077600,2022-02-17 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,66.97,,65.5,67.84,66.97,66.97,1009,,,95,4,219,11.01,0.15,,,,98,500,Rain,light rain,10n
2022-02-18,Friday,61,1645164000,2022-02-18 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,37.98,,30.63,34.97,37.98,62.98,1025,,,74,4,298,15.01,32.77,,,,87,503,Rain,very heavy rain,10n
2022-02-19,Saturday,97,1645250400,2022-02-19 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,42.98,,35.28,39.31,42.98,46.98,1027,,,74,5.99,325,14,32.77,,,,8,503,Rain,very heavy rain,10n
2022-02-20,Sunday,115,1645336800,2022-02-20 06:00:00 +0000 UTC,-21600,Audubon Zoo,29.923733,-90.131407,44.98,,37.89,44.98,44.98,52.99,1027,,,76,1.01,186,1.99,32.77,,,,12,503,Rain,very heavy rain,10n
