Date,Day,Rounds Played,temp,temp_min,temp_max,humidity,wind_speed,wind_gust,rain_1h,RoundsRange
2022-01-28,Friday,63,52.99,48.97,52.99,61,5.01,8.99,32.77,60-79
2022-01-29,Saturday,69,42.4,40.26,44.98,53,1.01,5.99,32.77,60-79
2022-01-30,Sunday,125,43.99,39.97,43.99,77,8.08,,,120-139
2022-01-31,Monday,78,49.98,48.97,49.98,89,5.53,,,60-79
2022-02-01,Tuesday,66,57.97,56.98,57.97,93,1.99,4,32.77,60-79
2022-02-02,Wednesday,0,52.99,52.99,62.98,95,4,11.01,32.77,0-19
2022-02-03,Thursday,2,60.69,41.99,64.47,95,4,11.01,0.25,0-19
2022-02-04,Friday,19,44.01,26.98,47.73,89,4,15.99,2.25,0-19
2022-02-05,Saturday,49,35.96,29.98,37,85,15.7,,,40-59
2022-02-06,Sunday,122,29.98,29.98,42.98,87,1.99,4,,120-139
2022-02-07,Monday,29,45.59,45,46.02,63,1.77,,,20-39
2022-02-08,Tuesday,55,43.99,43.99,47.98,59,1.99,4,,40-59
2022-02-09,Wednesday,82,43.21,40.73,46.98,73,1.01,3,,80-99
2022-02-10,Thursday,78,44.98,44.98,47.98,84,1.99,3,,60-79
2022-02-11,Friday,136,48.97,48.97,51.98,73,5.26,,,120-139
2022-02-12,Saturday,187,52.99,52.99,53.98,95,5.01,,32.77,180-200
2022-02-13,Sunday,69,34.99,34.99,49.98,72,7,10,,60-79
2022-02-14,Monday,47,42.04,38.03,46.98,59,5.46,,,40-59
2022-02-15,Tuesday,101,43.99,43.99,48.97,85,5.28,,32.77,100-119
2022-02-16,Wednesday,70,61.99,54.99,61.99,94,1.01,5.01,32.77,60-79
2022-02-17,Thursday,27,66.97,66.97,66.97,95,4,11.01,0.15,20-39
2022-02-18,Friday,61,37.98,37.98,62.98,74,4,15.01,32.77,60-79
2022-02-19,Saturday,97,42.98,42.98,46.98,74,5.99,14,32.77,80-99
2022-02-20,Sunday,115,44.98,44.98,52.99,76,1.01,1.99,32.77,100-119
2022-02-21,Monday,104,59.99,59.99,60.98,95,10.38,,32.77,100-119
2022-02-22,Tuesday,92,71.98,68.99,71.98,91,1.99,10,,80-99
2022-02-23,Wednesday,76,62.98,62.98,69.98,76,1.99,8.99,32.77,60-79
2022-02-24,Thursday,73,33.98,33.98,68.99,95,5.01,11.01,,60-79
2022-02-25,Friday,66,36.99,36.99,69.98,91,4,7,,60-79
2022-02-26,Saturday,65,40.98,40.98,50.99,88,5.99,8.01,,60-79
2022-02-27,Sunday,18,39.97,39.97,59.99,96,1.01,8.01,32.77,0-19
2022-02-28,Monday,52,42.98,42.98,45.99,69,5.99,11.01,,40-59
2022-03-01,Tuesday,0,44.98,44.98,55.98,75,1.01,4,32.77,0-19
2022-06-10,Friday,63,79.99,79.99,82.98,97,1.99,5.99,32.77,60-79
2022-06-11,Saturday,158,74.98,73.98,74.98,99,4.09,,5.08,140-159
2022-06-12,Sunday,174,77.99,76.98,77.99,86,1.01,1.01,,160-179
2022-06-13,Monday,43,81.99,81.99,81.99,85,1.99,1.99,32.77,40-59
2022-06-14,Tuesday,71,81.99,81.99,82.98,80,8.41,,,60-79
2022-06-15,Wednesday,91,82.98,82.98,82.98,79,6.55,,,80-99
2022-06-16,Thursday,110,83.05,82.06,83.55,76,3.47,,,100-119
2022-06-17,Friday,138,83.98,82.98,83.98,77,1.01,1.99,,120-139
2022-06-18,Saturday,166,82.98,82.98,84.97,77,1.01,3,,160-179
2022-06-19,Sunday,140,85.37,84.52,86.32,82,3.62,,,140-159
2022-06-20,Monday,81,85.98,84.97,85.98,70,4.29,,32.77,80-99
2022-06-21,Tuesday,60,84.97,83.98,84.97,71,1.99,5.99,32.77,60-79
2022-06-22,Wednesday,85,81.99,81.99,83.98,81,1.01,1.99,,80-99
2022-06-23,Thursday,84,83.98,83.98,84.97,75,1.99,3,,80-99
2022-06-24,Friday,76,84.97,84.97,84.97,72,1.99,3,32.77,60-79
2022-06-25,Saturday,132,83.98,83.98,83.98,80,1.99,4,,120-139
2022-06-26,Sunday,97,82.98,82.98,82.98,78,1.99,3,,80-99
2022-06-27,Monday,68,78.98,77.99,78.98,83,5.99,8.01,0.14,60-79
2022-06-28,Tuesday,78,79.99,78.98,79.99,80,7,8.01,,60-79
2022-06-29,Wednesday,49,81.99,79.99,81.99,78,1.99,7,32.77,40-59
2022-06-30,Thursday,30,77.99,77.99,80.98,99,3,4,32.77,20-39
2022-07-01,Friday,69,77.99,77.99,78.98,94,3.98,,32.77,60-79
2022-07-02,Saturday,123,76.98,76.98,77.99,92,6.42,,32.77,120-139
2022-07-03,Sunday,119,80.98,79.99,80.98,89,1.01,1.99,32.77,100-119
2022-07-04,Monday,87,80.98,80.98,80.98,86,4.54,,32.77,80-99
2022-07-05,Tuesday,38,80.98,80.98,82.98,86,3.94,,,20-39
2022-07-06,Wednesday,61,75.97,75.97,76.98,99,4.03,,,60-79
2022-07-07,Thursday,57,78.98,78.98,80.98,87,4.45,,,40-59
2022-07-08,Friday,121,79.99,79.99,81.99,91,1.01,1.99,,120-139
2022-07-09,Saturday,150,81.99,81.99,81.99,89,1.01,1.01,,140-159
2022-07-10,Sunday,116,81.99,81.99,82.98,89,7.45,,,100-119
2022-07-11,Monday,38,79.99,79.99,80.98,85,2.73,,0.49,20-39
2022-07-12,Tuesday,43,81.99,81.99,82.98,82,3,4,,40-59
2022-07-13,Wednesday,52,77.99,77.99,78.98,91,2.64,,,40-59
2022-07-14,Thursday,59,78.98,78.98,79.99,88,5.53,,,40-59
2022-07-15,Friday,128,77.99,77.99,79.99,83,4.29,,0.5,120-139
2022-07-16,Saturday,167,78.98,78.98,79.99,89,1.99,3,,160-179
2022-07-17,Sunday,194,76.98,76.98,77.99,88,3.42,,,180-200
2022-07-18,Monday,50,79.99,79.99,81.99,81,4.18,,,40-59
2022-07-19,Tuesday,79,81.99,81.99,82.98,79,1.01,1.99,,60-79
2022-07-20,Wednesday,84,82.98,82.98,83.98,80,8.55,,,80-99
2022-07-21,Thursday,85,81.99,81.99,81.99,90,1.01,3,,80-99
2022-07-22,Friday,104,79.99,79.99,81.99,87,7.07,,,100-119
2022-07-23,Saturday,128,75.97,75.97,79.99,99,1.99,1.99,,120-139
2022-07-24,Sunday,146,78.98,78.98,80.98,89,1.99,4,,140-159
2022-07-25,Monday,25,78.98,78.98,82.98,87,1.01,4,,20-39
2023-10-01,Sunday,97,79.11,77.99,79.99,78,5.99,8.01,,80-99
2023-10-02,Monday,53,76.21,72.99,77.99,78,5.01,7,,40-59
2023-10-03,Tuesday,77,77.11,75.97,77.99,76,5.99,11.99,,60-79
2023-10-04,Wednesday,94,75.42,74.98,77.99,82,8.01,13,,80-99
2023-10-05,Thursday,81,77.11,75.97,77.99,80,4,7,,80-99
2023-10-06,Friday,195,77.97,75.97,77.99,81,3,10,0.16,180-200
2023-10-07,Saturday,145,75.97,74.98,75.97,72,4,10,,140-159
2023-10-08,Sunday,108,67.96,65.98,67.98,45,14,18.99,,100-119
2023-10-09,Monday,90,63.95,61.99,64.98,53,3,5.01,,80-99
