Date,Day,Rounds Played,temp,temp_min,temp_max,humidity,wind_speed,wind_gust,rain_1h,RoundsRange
2022-01-01,Saturday,61,74.98,74.98,76.98,78,3,5.99,,60-79
2022-01-02,Sunday,6,55.98,55.98,74.98,81,5.99,14,0.33,0-19
2022-01-03,Monday,9,32.99,32.99,34.99,73,13,21,,0-19
2022-01-04,Tuesday,18,35.98,35.98,41.99,89,1.99,15.01,,0-19
2022-01-05,Wednesday,39,51.98,48.97,51.98,93,1.01,1.99,,20-39
2022-01-06,Thursday,56,63.99,59.99,63.99,94,1.01,1.99,,40-59
2022-01-07,Friday,49,46.53,44.98,47.61,83,7,15.01,,40-59
2022-01-08,Saturday,113,51.98,51.98,53.98,87,1.99,5.99,,100-119
2022-01-09,Sunday,98,69.98,62.98,69.98,94,1.99,8.99,3.56,80-99
2022-01-10,Monday,18,52.99,52.99,63.99,83,10,15.01,32.77,0-19
2022-01-11,Tuesday,34,45.99,45.99,46.98,53,8.99,17,,20-39
2022-01-12,Wednesday,42,48.97,48.97,48.97,69,5.99,8.99,32.77,40-59
2022-01-13,Thursday,84,45.64,44.35,48.97,61,5.41,,,80-99
2022-01-14,Friday,112,53.28,51.98,54.28,80,8.19,,32.77,100-119
2022-01-15,Saturday,84,56.98,53.98,56.98,95,6.69,,32.77,80-99
2022-01-16,Sunday,28,35.98,35.98,39.97,61,3,15.01,,20-39
2022-01-17,Monday,102,41.5,39.63,42.91,81,8.1,,,100-119
2022-01-18,Tuesday,61,45.79,45.14,46.13,78,2.01,,32.77,60-79
2022-01-19,Wednesday,115,59.99,52.99,59.99,90,1.01,1.01,,100-119
2022-01-20,Thursday,2,49.98,49.98,62.98,87,5.99,15.99,,0-19
2022-01-21,Friday,0,39.49,37.98,40.3,83,4,4,0.51,0-19
2022-01-22,Saturday,66,36.99,36.99,36.99,61,8.01,15.01,32.77,60-79
2022-01-23,Sunday,62,38.17,36.72,39.4,59,4,8.01,32.77,60-79
2022-01-24,Monday,32,51.98,42.98,51.98,57,5.57,,32.77,20-39
2022-01-25,Tuesday,0,46.98,45.99,46.98,95,1.99,5.99,1.27,0-19
2022-01-26,Wednesday,61,49.37,48.79,50.07,89,11.65,,,60-79
2022-01-27,Thursday,80,45.99,44.98,45.99,84,1.99,8.01,,80-99
2022-03-02,Wednesday,77,46.98,46.98,54.99,74,1.01,1.99,32.77,60-79
2022-03-03,Thursday,96,56.98,56.98,57.97,90,1.01,1.99,,80-99
2022-03-04,Friday,145,58.98,57.97,58.98,94,6.13,,32.77,140-159
2022-03-05,Saturday,161,66.97,60.98,66.97,92,1.01,3,,160-179
2022-03-06,Sunday,159,68.99,66.97,68.99,94,1.01,5.99,,140-159
2022-03-07,Monday,57,71.98,71.98,71.98,92,3,8.01,,40-59
2022-03-08,Tuesday,51,65.91,64.53,66.97,73,5.01,8.99,32.77,40-59
2022-03-09,Wednesday,1,63.32,58.98,66.38,97,7,11.01,32.77,0-19
2022-03-10,Thursday,112,54.19,50.99,55.49,84,4,8.01,0.21,100-119
